CRI_YM,TAG,BD_HD,DAY,TIME,SEX,AGE,NUM,TIME2
201905,baby,business_day,D.THU,B.06-10,F,A.2O,291,20
202005,daily_office,business_day,A.MON,D.14-18,M,C.4O,6225,4
201905,golf,holiday,G.SUN,F.22-02,M,B.3O,51,42
202105,cosmetics,holiday,G.SUN,D.14-18,F,C.4O,3564,40
202005,interior,business_day,A.MON,C.10-14,F,D.5O,1101,3
201905,grocery,business_day,A.MON,B.06-10,M,E.60,171,2
202005,books,holiday,G.SUN,A.02-06,M,C.4O,128,37
202105,home_shopping,holiday,F.SAT,C.10-14,F,D.5O,14684,33
201905,home_appliance,business_day,D.THU,B.06-10,F,B.3O,758,20
201905,golf,business_day,B.TUE,C.10-14,M,D.5O,122,9
202105,car,holiday,F.SAT,C.10-14,M,A.2O,152,33
201905,hobby,holiday,A.MON,D.14-18,F,E.60,10,4
202005,books,holiday,F.SAT,C.10-14,F,E.60,68,33
202105,baby,holiday,F.SAT,D.14-18,F,B.3O,2125,34
202105,pet,business_day,B.TUE,D.14-18,M,B.3O,326,10
202005,baby,holiday,B.TUE,D.14-18,M,B.3O,224,10
202005,cosmetics,business_day,A.MON,C.10-14,F,B.3O,5591,3
202105,car,holiday,C.WED,D.14-18,M,C.4O,303,16
202105,books,business_day,A.MON,D.14-18,M,D.5O,926,4
201905,home_appliance,business_day,A.MON,B.06-10,F,E.60,247,2
201905,hobby,business_day,B.TUE,E.18-22,F,D.5O,112,11
202105,baby,business_day,E.FRI,E.18-22,F,E.60,55,29
202105,fashion,business_day,E.FRI,A.02-06,M,C.4O,670,25
202005,fashion,business_day,E.FRI,B.06-10,F,A.2O,2510,26
202105,home_appliance,business_day,C.WED,D.14-18,M,B.3O,1552,16
202005,daily_office,holiday,E.FRI,F.22-02,F,D.5O,438,30
202105,baby,holiday,C.WED,A.02-06,M,A.2O,11,13
202105,home_appliance,business_day,B.TUE,B.06-10,F,D.5O,1042,8
201905,grocery,holiday,C.WED,F.22-02,M,E.60,42,18
201905,car,business_day,E.FRI,F.22-02,M,A.2O,105,30
201905,grocery,holiday,F.SAT,D.14-18,M,B.3O,1647,34
202005,car,holiday,E.FRI,C.10-14,M,A.2O,33,27
202105,books,holiday,G.SUN,A.02-06,F,D.5O,63,37
201905,home_shopping,holiday,G.SUN,B.06-10,M,E.60,1180,38
202005,home_shopping,business_day,A.MON,E.18-22,F,B.3O,4054,5
202105,hobby,business_day,E.FRI,D.14-18,F,D.5O,240,28
202105,hobby,business_day,B.TUE,F.22-02,M,A.2O,235,12
202105,home_shopping,holiday,F.SAT,D.14-18,M,C.4O,3362,34
202105,home_shopping,business_day,A.MON,F.22-02,M,B.3O,2024,6
202005,sports,holiday,G.SUN,B.06-10,F,A.2O,123,38
202105,grocery,business_day,D.THU,D.14-18,M,B.3O,4684,22
202005,hobby,business_day,C.WED,A.02-06,M,A.2O,50,13
202005,interior,holiday,F.SAT,D.14-18,M,B.3O,1379,34
202105,hobby,holiday,F.SAT,F.22-02,F,E.60,39,36
201905,books,business_day,A.MON,F.22-02,M,E.60,37,6
201905,daily_office,holiday,G.SUN,D.14-18,M,D.5O,950,40
202105,home_appliance,holiday,C.WED,F.22-02,F,E.60,44,18
202105,baby,business_day,C.WED,A.02-06,F,C.4O,79,13
202005,car,holiday,F.SAT,F.22-02,M,A.2O,137,36
201905,sports,business_day,D.THU,C.10-14,F,B.3O,816,21
202005,interior,holiday,G.SUN,D.14-18,F,D.5O,1170,40
202005,books,business_day,E.FRI,F.22-02,M,E.60,53,30
202005,golf,holiday,B.TUE,C.10-14,M,E.60,4,9
202105,books,holiday,C.WED,B.06-10,M,B.3O,137,14
201905,daily_office,business_day,D.THU,D.14-18,F,E.60,1574,22
201905,golf,business_day,D.THU,B.06-10,M,C.4O,112,20
202105,cosmetics,holiday,F.SAT,B.06-10,M,D.5O,411,32
202005,books,business_day,E.FRI,A.02-06,M,C.4O,95,25
202105,golf,business_day,C.WED,E.18-22,M,C.4O,120,17
201905,hobby,business_day,A.MON,F.22-02,F,D.5O,62,6
202105,grocery,holiday,G.SUN,D.14-18,M,D.5O,2946,40
201905,daily_office,holiday,C.WED,A.02-06,F,C.4O,114,13
201905,interior,holiday,C.WED,E.18-22,M,B.3O,331,17
201905,car,holiday,F.SAT,A.02-06,M,A.2O,32,31
201905,daily_office,business_day,D.THU,D.14-18,M,D.5O,2068,22
201905,car,business_day,C.WED,C.10-14,F,E.60,21,15
202105,car,business_day,D.THU,C.10-14,F,C.4O,280,21
201905,hobby,business_day,A.MON,C.10-14,F,E.60,25,3
201905,sports,business_day,D.THU,B.06-10,M,E.60,22,20
201905,fashion,holiday,A.MON,C.10-14,M,B.3O,1005,3
202005,car,holiday,G.SUN,E.18-22,F,C.4O,367,41
201905,golf,holiday,F.SAT,E.18-22,F,A.2O,8,35
202005,car,business_day,A.MON,E.18-22,M,A.2O,217,5
202005,grocery,holiday,F.SAT,B.06-10,M,A.2O,288,32
202005,cosmetics,holiday,F.SAT,F.22-02,M,C.4O,924,36
201905,interior,holiday,G.SUN,F.22-02,M,C.4O,674,42
202105,books,business_day,B.TUE,E.18-22,F,B.3O,1459,11
202105,car,business_day,E.FRI,D.14-18,M,B.3O,685,28
202005,grocery,holiday,F.SAT,F.22-02,F,D.5O,1965,36
201905,books,business_day,E.FRI,D.14-18,F,C.4O,2224,28
201905,pet,business_day,E.FRI,A.02-06,F,A.2O,65,25
201905,golf,holiday,G.SUN,F.22-02,F,B.3O,24,42
202105,fashion,holiday,C.WED,C.10-14,F,A.2O,2447,15
202005,home_shopping,business_day,A.MON,B.06-10,M,D.5O,1219,2
202005,golf,holiday,F.SAT,C.10-14,M,B.3O,102,33
202005,grocery,business_day,C.WED,B.06-10,M,C.4O,2225,14
201905,cosmetics,holiday,C.WED,F.22-02,M,E.60,11,18
202005,interior,holiday,B.TUE,F.22-02,M,C.4O,400,12
202105,cosmetics,business_day,C.WED,B.06-10,F,E.60,95,14
201905,sports,holiday,A.MON,C.10-14,M,A.2O,39,3
202005,car,business_day,B.TUE,E.18-22,F,C.4O,215,11
201905,cosmetics,holiday,A.MON,C.10-14,M,C.4O,149,3
201905,interior,holiday,F.SAT,F.22-02,F,D.5O,236,36
202005,grocery,holiday,E.FRI,F.22-02,M,D.5O,249,30
202005,interior,holiday,B.TUE,F.22-02,F,E.60,38,12
201905,baby,business_day,C.WED,C.10-14,F,C.4O,652,15
201905,grocery,business_day,E.FRI,B.06-10,M,A.2O,476,26
201905,fashion,holiday,C.WED,D.14-18,F,B.3O,2210,16
202005,fashion,holiday,E.FRI,C.10-14,M,E.60,141,27
201905,interior,business_day,B.TUE,C.10-14,F,A.2O,752,9
202105,car,holiday,C.WED,D.14-18,F,E.60,19,16
201905,sports,holiday,G.SUN,F.22-02,M,A.2O,214,42
202005,fashion,business_day,D.THU,C.10-14,F,A.2O,6984,21
202105,books,business_day,C.WED,A.02-06,F,B.3O,92,13
201905,pet,holiday,F.SAT,F.22-02,F,E.60,17,36
202105,pet,business_day,B.TUE,D.14-18,F,B.3O,789,10
202105,fashion,business_day,C.WED,A.02-06,F,E.60,79,13
201905,fashion,business_day,E.FRI,B.06-10,M,C.4O,2127,26
