Annual	gdp	Coal	Gas	Oil	Gasoline	Petroleum	Electricity	Geothermal	Solar	Wind	Waste	Biofuels
2000	36329.95607	22.7	133.8	171.3	43.9	621	193.6	164.364	63.406	57.057	510.8	235.712
2001	37133.62311	18.8	133.7	176.9	42.5	638	188.4	164.461	61.597	69.617	363.875	252.647
2002	37997.75966	16.9	133.7	165.6	41.3	682.8	188.3	171.164	59.89	105.334	402.004	303.333
2003	39490.27496	18.1	135.5	190.8	46.3	758.4	193.8	173.445	58.327	113.273	401.347	403.087
2004	41724.63163	17.4	135.3	261.4	44.1	816.9	197.1	178.147	58.247	141.664	389.043	497.777
2005	44123.40707	17.1	135.7	241.4	48.8	786.1	197.6	180.703	57.701	178.088	403.219	574.014
2006	46302.00088	23.5	132.6	209.3	48.3	703.6	196.7	181.2	60.477	263.738	396.561	766.26
2007	48050.22378	20.4	131.5	212.9	46.5	723.7	194.9	185.774	65.229	340.503	413.235	982.814
2008	48570.04598	20.8	129.6	198.4	49	775.4	196.1	192.433	73.579	545.548	435.263	1357.144
2009	47194.94335	20.3	131.7	166.4	48.3	723.9	191.3	200.185	77.341	721.129	451.687	1553.312
2010	48650.64313	20	130.1	157.8	51.3	747.7	193.7	207.979	90.007	923.427	467.912	1820.977
2011	50065.9665	18.5	124.7	166.5	52.7	755.8	193.2	212.311	110.354	1167.636	461.793	1941.48
2012	51784.41857	15.9	116.2	148.6	50.1	694.4	187.2	211.592	155.59	1340.059	466.604	1899.134
2013	53291.12769	14.3	122.5	140	46.6	613.2	184.7	214.006	225.486	1601.359	496.436	2026.344
2014	55123.84979	13.5	125.6	133.5	44.9	594.8	182.1	214.474	337.397	1727.36	515.877	2098.567
2015	56762.72945	12.6	122.2	134.4	46.8	602.2	184.3	211.756	426.543	1776.353	518.371	2184.748
2016	57866.74493	10.2	115.4	129.7	46.5	582.2	184.5	209.541	569.992	2094.687	503.219	2333.27
2017	59907.75426	9.1	115.1	135.1	46.4	583.5	181.7	210.154	776.521	2341.619	495.26	2364.382
2018	62823.30944	6.2	125.8	127.8	45.5	558.5	180	208.769	914.505	2480.728	487.347	2355.17
2019	65120.39466	5	131.7	125.4	46.6	551	178.2	201.192	1016.276	2633.058	442.447	2376.238
2020	63530.63348	5.2	128.3	129.6	43.3	520	173.8	202.805	1211.326	2962.703	439.734	2135.793
2021	70248.629	5.3	129.6	122.2	44.9	521.2	173.1	204.784	1520.005	3344.772	430.267	2330.855
