Annual	gdp	Coal	Gas	Petroleum	Nuclear	Geothermal	Solar	Wind	Hydroelectric
2000	10250.948	22.579528	23.823977	38.151574	7.862349	0.164364	0.063406	0.057057	2.811116
2001	10581.92977	21.914268	22.772558	38.083673	8.028853	0.164461	0.061597	0.069617	2.241858
2002	10929.11296	21.903989	23.510081	38.117422	8.145429	0.171164	0.05989	0.105334	2.689017
2003	11456.44204	22.320928	22.830642	38.707001	7.959622	0.173445	0.058327	0.113273	2.792539
2004	12217.1932	22.466195	22.923061	40.139253	8.222774	0.178147	0.058247	0.141664	2.688468
2005	13039.19919	22.796543	22.565364	40.216568	8.16081	0.180703	0.057701	0.178088	2.702942
2006	13815.58695	22.44716	22.238738	39.730512	8.214626	0.1812	0.060477	0.263738	2.869035
2007	14474.22691	22.749466	23.662759	39.367615	8.458589	0.185774	0.065229	0.340503	2.446389
2008	14769.85791	22.387437	23.842953	36.769383	8.426491	0.192433	0.073579	0.545548	2.511108
2009	14478.06493	19.691205	23.41594	34.77915	8.35522	0.200185	0.077341	0.721129	2.668824
2010	15048.96444	20.833968	24.574754	35.320511	8.434433	0.207979	0.090007	0.923427	2.538541
2011	15599.72812	19.657784	24.954539	34.639174	8.268698	0.212311	0.110354	1.167636	3.102852
2012	16253.97223	17.378234	26.088582	33.833083	8.061822	0.211592	0.15559	1.340059	2.628702
2013	16843.19099	18.038633	26.805134	34.397925	8.244433	0.214006	0.225486	1.601359	2.562382
2014	17550.68017	17.997632	27.382833	34.657827	8.337559	0.214474	0.337397	1.72736	2.466317
2015	18206.02074	15.54887	28.191095	35.368127	8.336886	0.211756	0.426543	1.776353	2.319932
2016	18695.11084	14.225905	28.400352	35.711903	8.426753	0.209541	0.569992	2.094687	2.471371
2017	19477.33655	13.837465	28.055093	36.043156	8.418968	0.210154	0.776521	2.341619	2.765466
2018	20533.05731	13.251532	31.162834	36.89182	8.438068	0.208769	0.914505	2.480728	2.661383
2019	21380.97612	11.315595	32.263692	36.866381	8.451852	0.201192	1.016276	2.633058	2.561788
2020	21060.47361	9.181109	31.576976	32.331134	8.251075	0.202805	1.211326	2.962703	2.500996
2021	23315.08056	10.548526	31.687552	35.242737	8.130913	0.204784	1.520005	3.344772	2.225016
